x1,x2,price_group,price
29.305395,-9.574324,600k to 800k ($),625600
-29.036743,19.378086,600k to 800k ($),649900
7.822215,7.718055,600k to 800k ($),617000
-27.327723,32.7489,600k to 800k ($),699900
-6.28331,26.648369,600k to 800k ($),609900
-7.2765083,22.626617,600k to 800k ($),605000
-6.28331,26.648369,600k to 800k ($),609900
-7.21773,25.84132,600k to 800k ($),635040
44.51045,20.002552,600k to 800k ($),725000
33.983406,26.793802,600k to 800k ($),767999
47.180305,-8.35836,600k to 800k ($),799000
46.71662,-3.6489086,600k to 800k ($),710000
13.626648,-30.468842,600k to 800k ($),740000
40.155247,-0.9985933,600k to 800k ($),750000
32.220634,2.6822667,600k to 800k ($),725000
45.64149,23.361694,600k to 800k ($),780000
7.115253,-38.010296,600k to 800k ($),775000
48.704124,21.987078,600k to 800k ($),750000
48.043648,21.063116,600k to 800k ($),725000
-10.224815,11.177197,600k to 800k ($),779500
-9.448407,18.249573,600k to 800k ($),789000
-9.310304,17.031548,600k to 800k ($),725000
49.310524,18.425865,600k to 800k ($),759900
-11.168059,-23.110966,600k to 800k ($),729000
-7.7000804,9.591313,600k to 800k ($),725000
-27.33178,32.788548,600k to 800k ($),747885
9.978695,-26.240665,600k to 800k ($),725000
-27.356596,32.755157,600k to 800k ($),783130
-27.357456,32.742645,600k to 800k ($),721920
-6.742798,18.21615,600k to 800k ($),759900
-27.315542,32.762688,600k to 800k ($),777665
-39.27416,30.364256,600k to 800k ($),708769
11.542348,6.892641,600k to 800k ($),774900
11.542758,6.8905764,600k to 800k ($),799900
-2.846439,7.5892124,600k to 800k ($),774900
-2.8459578,7.676097,600k to 800k ($),799900
-7.3680425,17.97732,600k to 800k ($),799900
-27.303497,32.762665,600k to 800k ($),757652
-27.35739,32.74265,600k to 800k ($),731650
-27.296381,32.799896,600k to 800k ($),785261
17.767708,8.436831,600k to 800k ($),745900
-5.7006984,11.096639,>= 800k ($),879000
-1.7662239,21.293026,>= 800k ($),899900
4.242491,13.538026,>= 800k ($),844900
-9.042785,19.98433,>= 800k ($),1749000
5.054307,-37.449554,>= 800k ($),950000
-16.587795,-34.464203,>= 800k ($),1300000
-9.183615,22.337852,>= 800k ($),965000
8.946451,-24.400682,>= 800k ($),1150000
-14.030098,-38.16421,>= 800k ($),1400000
-16.95067,-34.257805,>= 800k ($),1300000
49.90711,25.29507,>= 800k ($),895000
1.9885377,11.379561,>= 800k ($),849000
53.760483,24.046267,>= 800k ($),980000
-59.227863,5.979598,>= 800k ($),950000
-12.340117,-35.194042,>= 800k ($),975000
59.739964,16.979689,>= 800k ($),810000
-4.5815773,14.900637,>= 800k ($),834900
0.1239543,19.487312,>= 800k ($),1900000
-27.236492,-10.595953,>= 800k ($),885000
47.04805,23.493717,>= 800k ($),1399000
5.891504,6.801106,>= 800k ($),2000000
62.093914,-4.840345,>= 800k ($),995000
9.285981,7.735693,>= 800k ($),950000
34.315876,25.10498,>= 800k ($),980000
49.56693,19.849073,>= 800k ($),1675000
40.90737,25.557873,>= 800k ($),819000
41.981606,30.874937,>= 800k ($),1200000
-0.08653489,15.687953,>= 800k ($),1800000
50.9178,19.313515,>= 800k ($),1200000
41.981358,30.875576,>= 800k ($),963000
45.26331,27.292212,>= 800k ($),1350000
-4.595803,14.798361,>= 800k ($),844900
-0.6562393,8.866449,>= 800k ($),879420
-27.326635,32.74136,>= 800k ($),869990
-13.6914835,-37.53533,>= 800k ($),1900000
50.28221,22.113811,>= 800k ($),1250000
56.25035,7.106349,0 to 200k ($),170005
48.882557,-3.9267216,0 to 200k ($),175000
44.891197,0.06974697,200k to 400k ($),200000
48.837208,-7.4589305,0 to 200k ($),199000
20.01985,-14.734824,0 to 200k ($),175000
37.1603,9.941632,0 to 200k ($),199900
49.248276,-5.4990315,0 to 200k ($),175000
52.63494,-8.906147,0 to 200k ($),186000
57.678654,-3.6721878,200k to 400k ($),200000
49.3508,-11.829898,0 to 200k ($),189000
52.57901,-13.288145,200k to 400k ($),200000
48.928,-7.5058975,200k to 400k ($),200000
49.002556,-5.5050936,0 to 200k ($),190000
49.84107,-7.231945,0 to 200k ($),195000
52.40429,-13.370739,200k to 400k ($),200000
58.152073,4.7363358,200k to 400k ($),225000
44.42468,-1.1979834,200k to 400k ($),249000
39.794556,-15.760283,200k to 400k ($),275000
38.61177,-2.0346005,200k to 400k ($),260000
-39.47912,-0.28808337,200k to 400k ($),265000
38.928165,-33.192467,200k to 400k ($),299900
51.005245,5.3211217,200k to 400k ($),282000
51.813965,0.61174464,200k to 400k ($),239300
50.400238,-3.0549512,200k to 400k ($),220000
25.260475,20.3584,200k to 400k ($),295000
17.956028,20.299055,200k to 400k ($),299900
25.338774,10.779383,200k to 400k ($),275000
-58.514122,-18.971762,200k to 400k ($),300000
51.539406,4.550756,200k to 400k ($),299900
44.57516,-2.5003612,200k to 400k ($),299999
54.351673,9.380602,200k to 400k ($),275000
24.850407,7.906808,200k to 400k ($),275000
0.44657642,-27.989239,200k to 400k ($),275000
34.835247,11.478003,200k to 400k ($),289000
52.791637,0.11076078,200k to 400k ($),249400
48.781353,-4.3502617,200k to 400k ($),215000
3.9406226,-13.956566,200k to 400k ($),299000
14.088476,-9.628702,200k to 400k ($),300000
40.83585,-2.4890711,200k to 400k ($),249900
-5.587862,-10.413123,200k to 400k ($),295000
32.042377,-22.704638,200k to 400k ($),282000
51.126373,5.7705693,200k to 400k ($),240000
46.46554,12.123541,200k to 400k ($),276400
51.910088,-2.2402709,200k to 400k ($),259990
23.920706,5.7376676,200k to 400k ($),299900
40.387054,-30.542404,200k to 400k ($),282000
38.74849,-2.0767186,200k to 400k ($),290000
13.979221,27.983292,200k to 400k ($),299900
47.734642,-6.96316,200k to 400k ($),295000
43.8143,7.7196,200k to 400k ($),280000
7.359212,26.544533,200k to 400k ($),280999
-3.5237336,31.06955,200k to 400k ($),299000
44.41282,2.6743991,200k to 400k ($),259900
44.34019,-0.8646752,200k to 400k ($),285000
44.268288,11.218632,200k to 400k ($),235000
52.479164,-9.88993,200k to 400k ($),220000
49.383396,-11.589665,200k to 400k ($),300000
51.858578,-13.504404,200k to 400k ($),300000
44.514786,1.6869066,200k to 400k ($),270000
19.61675,-20.597923,200k to 400k ($),299000
25.277275,9.737635,200k to 400k ($),300000
52.192078,-11.719555,200k to 400k ($),299000
44.10408,11.267122,200k to 400k ($),235000
58.465446,2.239636,200k to 400k ($),250000
52.326183,-13.458199,200k to 400k ($),290000
54.262333,0.35064366,200k to 400k ($),279900
54.450443,6.622556,200k to 400k ($),255000
7.885129,31.373053,200k to 400k ($),260000
49.745388,-8.048573,200k to 400k ($),270000
51.317318,-13.014704,200k to 400k ($),225000
49.470127,-6.6315823,200k to 400k ($),210000
30.748714,5.3019943,200k to 400k ($),298000
51.30328,-12.6107,200k to 400k ($),289000
51.315598,-12.745947,200k to 400k ($),280000
51.6279,-11.68064,200k to 400k ($),250000
16.406502,24.495655,200k to 400k ($),299990
51.25079,-12.623471,200k to 400k ($),299000
58.692993,1.8579123,200k to 400k ($),225000
37.405716,-28.262352,200k to 400k ($),300000
48.19708,-8.656405,200k to 400k ($),299000
49.856762,-13.496534,200k to 400k ($),299000
54.04717,6.413997,200k to 400k ($),295000
13.981638,27.98624,200k to 400k ($),299900
45.119656,8.86816,200k to 400k ($),289000
10.160129,24.623991,200k to 400k ($),289000
51.464256,-1.643072,200k to 400k ($),288000
52.54798,-9.980815,200k to 400k ($),220000
52.546257,-13.213056,200k to 400k ($),250000
51.200222,-12.250696,200k to 400k ($),250000
51.194805,-12.94183,200k to 400k ($),299000
9.282555,-15.641631,200k to 400k ($),297000
48.61762,7.058934,200k to 400k ($),300000
13.981451,27.986528,200k to 400k ($),299900
48.263893,-10.392926,200k to 400k ($),289000
14.020459,23.21201,200k to 400k ($),299900
-37.094566,-5.4492593,200k to 400k ($),294999
-37.09438,-5.4492664,200k to 400k ($),294999
51.409065,5.05621,200k to 400k ($),299500
-43.106445,2.5176113,200k to 400k ($),375000
10.630593,-33.541233,200k to 400k ($),374990
-54.958954,-8.647318,400k to 600k ($),400000
-30.36246,32.668457,200k to 400k ($),399990
-60.22203,-11.2883625,200k to 400k ($),340000
-11.59843,-8.962931,200k to 400k ($),329900
0.3812752,-2.2952745,200k to 400k ($),369900
-7.317011,0.6567299,200k to 400k ($),370000
-39.673336,-1.2218477,200k to 400k ($),374000
-41.2142,-5.564563,200k to 400k ($),389900
-11.325157,-23.120888,200k to 400k ($),375000
-9.832491,-2.0525362,200k to 400k ($),399000
-9.028903,-6.1791635,200k to 400k ($),340000
-0.8816142,-0.7041622,200k to 400k ($),399000
-57.635956,-16.368267,200k to 400k ($),380000
-34.358944,7.5146766,200k to 400k ($),345000
-54.936283,-8.54809,200k to 400k ($),350000
-5.671313,-26.21626,200k to 400k ($),375000
-11.255887,2.6880362,200k to 400k ($),315000
34.99993,8.131375,200k to 400k ($),349900
-23.968573,21.196548,200k to 400k ($),399800
10.212779,-10.171329,200k to 400k ($),380000
15.597058,15.508824,200k to 400k ($),379999
5.160243,-2.82911,200k to 400k ($),375000
4.3745136,-10.417634,400k to 600k ($),400000
-8.239454,-7.395092,200k to 400k ($),390000
21.053621,-33.045666,400k to 600k ($),400000
7.088042,13.383599,200k to 400k ($),359900
-25.795822,8.02592,200k to 400k ($),375000
6.3171797,-9.433063,200k to 400k ($),318900
6.717107,27.695444,200k to 400k ($),326999
42.17016,-16.288397,200k to 400k ($),324900
-8.601812,-7.790422,200k to 400k ($),375000
22.698494,7.1096854,200k to 400k ($),360000
8.808333,-23.105228,200k to 400k ($),355000
-18.210356,10.037146,200k to 400k ($),389000
15.653024,22.694199,200k to 400k ($),379900
-5.7901554,-0.07992297,200k to 400k ($),339900
7.488845,-8.814322,200k to 400k ($),349900
-44.122902,2.2734385,200k to 400k ($),370000
-3.944711,5.5031,200k to 400k ($),349900
30.650984,15.516404,200k to 400k ($),303500
-4.1997423,5.6280446,200k to 400k ($),327500
29.211775,4.1767473,200k to 400k ($),379880
-30.05835,1.8755218,200k to 400k ($),395000
0.049328927,6.657794,200k to 400k ($),399000
-11.841623,3.1818593,200k to 400k ($),330000
31.814955,-30.276224,200k to 400k ($),377000
9.262607,-12.345681,200k to 400k ($),335000
-10.8675375,-1.7853519,200k to 400k ($),388500
43.513588,-29.084202,200k to 400k ($),346000
36.72706,-29.808622,200k to 400k ($),337000
-13.091416,-6.550256,200k to 400k ($),350000
23.82392,13.50196,200k to 400k ($),395000
20.244045,21.860151,200k to 400k ($),385200
42.27505,-16.058634,200k to 400k ($),365000
24.30288,-21.234327,200k to 400k ($),375000
7.5118513,-10.1504,200k to 400k ($),315000
-39.74647,-0.96126825,200k to 400k ($),385000
11.542844,-11.205661,200k to 400k ($),385000
-6.1483316,-6.025824,200k to 400k ($),399900
26.912527,16.248808,200k to 400k ($),314900
-15.065553,-9.18819,200k to 400k ($),375000
34.671646,-29.598001,200k to 400k ($),377000
